,death,parole,population
2015-01-01 00:00:00,4,60,45
2015-02-01 00:00:00,0,0,0
2015-03-01 00:00:00,4,19,13
2015-04-01 00:00:00,0,0,0
2015-05-01 00:00:00,4,13,5
2015-06-01 00:00:00,0,7,9
2015-07-01 00:00:00,1,7,3
2015-08-01 00:00:00,1,9,2
2015-09-01 00:00:00,1,1,0
2015-10-01 00:00:00,1,0,1
2015-11-01 00:00:00,0,2,1
2015-12-01 00:00:00,8,16,1
2016-01-01 00:00:00,14,63,44
2016-02-01 00:00:00,0,2,0
2016-03-01 00:00:00,5,11,26
2016-04-01 00:00:00,2,0,0
2016-05-01 00:00:00,5,12,6
2016-06-01 00:00:00,0,8,7
2016-07-01 00:00:00,0,1,2
2016-08-01 00:00:00,0,2,2
2016-09-01 00:00:00,0,1,0
2016-10-01 00:00:00,0,1,0
2016-11-01 00:00:00,0,2,1
2016-12-01 00:00:00,8,6,10
2017-01-01 00:00:00,2,37,11
2017-02-01 00:00:00,0,0,1
2017-03-01 00:00:00,2,10,5
2017-04-01 00:00:00,0,0,0
2017-05-01 00:00:00,0,6,7
2017-06-01 00:00:00,0,29,10
2017-07-01 00:00:00,0,1,0
2017-08-01 00:00:00,0,2,0
2017-09-01 00:00:00,0,2,1
2017-10-01 00:00:00,0,0,4
2017-11-01 00:00:00,0,4,3
2017-12-01 00:00:00,6,7,7
2018-01-01 00:00:00,2,45,25
2018-02-01 00:00:00,0,0,0
2018-03-01 00:00:00,4,8,4
2018-04-01 00:00:00,0,3,0
2018-05-01 00:00:00,2,8,3
2018-06-01 00:00:00,0,8,11
2018-07-01 00:00:00,0,0,1
2018-08-01 00:00:00,0,6,0
2018-09-01 00:00:00,1,3,0
2018-10-01 00:00:00,1,5,4
2018-11-01 00:00:00,0,7,5
2018-12-01 00:00:00,5,7,6
2019-01-01 00:00:00,4,20,5
2019-02-01 00:00:00,0,0,0
2019-03-01 00:00:00,1,13,1
2019-04-01 00:00:00,0,3,0
2019-05-01 00:00:00,7,8,0
2019-06-01 00:00:00,3,7,11
2019-07-01 00:00:00,2,2,0
2019-08-01 00:00:00,0,0,0
2019-09-01 00:00:00,1,3,0
2019-10-01 00:00:00,1,4,2
2019-11-01 00:00:00,1,2,0
2019-12-01 00:00:00,10,10,5
2020-01-01 00:00:00,24,101,77
2020-02-01 00:00:00,1,0,1
2020-03-01 00:00:00,20,28,58
2020-04-01 00:00:00,2,0,2
2020-05-01 00:00:00,4,24,3
2020-06-01 00:00:00,2,22,24
2020-07-01 00:00:00,0,3,8
2020-08-01 00:00:00,0,5,0
2020-09-01 00:00:00,2,13,0
2020-10-01 00:00:00,2,5,0
2020-11-01 00:00:00,1,2,12
2020-12-01 00:00:00,12,29,83
2021-01-01 00:00:00,8,78,46
2021-02-01 00:00:00,0,0,1
2021-03-01 00:00:00,6,16,218
2021-04-01 00:00:00,4,2,0
2021-05-01 00:00:00,0,8,9
2021-06-01 00:00:00,0,4,18
2021-07-01 00:00:00,0,7,8
2021-08-01 00:00:00,0,3,3
2021-09-01 00:00:00,0,2,6
2021-10-01 00:00:00,6,10,6
2021-11-01 00:00:00,0,4,7
2021-12-01 00:00:00,4,12,15
2022-01-01 00:00:00,3,46,38
2022-02-01 00:00:00,3,0,1
2022-03-01 00:00:00,1,15,287
2022-04-01 00:00:00,0,4,1
2022-05-01 00:00:00,0,10,6
2022-06-01 00:00:00,0,4,6
2022-07-01 00:00:00,2,3,15
2022-08-01 00:00:00,0,0,4
2022-09-01 00:00:00,1,2,3
2022-10-01 00:00:00,0,2,6
2022-11-01 00:00:00,0,4,3
2022-12-01 00:00:00,5,4,18
2023-01-01 00:00:00,11,13,28
2023-02-01 00:00:00,4,4,11
2023-03-01 00:00:00,2,8,91
2023-04-01 00:00:00,2,4,23
2023-05-01 00:00:00,4,4,12
2023-06-01 00:00:00,4,4,15
2023-07-01 00:00:00,1,6,31
2023-08-01 00:00:00,0,2,18
2023-09-01 00:00:00,3,4,13
2023-10-01 00:00:00,3,4,15
2023-11-01 00:00:00,1,4,11
2023-12-01 00:00:00,3,4,14
2024-01-01 00:00:00,4,10,26
2024-02-01 00:00:00,1,4,14
2024-03-01 00:00:00,2,3,739
2024-04-01 00:00:00,2,3,13
2024-05-01 00:00:00,2,3,15
2024-06-01 00:00:00,5,7,24
2024-07-01 00:00:00,3,3,19
2024-08-01 00:00:00,0,0,2
2024-09-01 00:00:00,1,5,11
2024-10-01 00:00:00,2,3,12
2024-11-01 00:00:00,2,3,10
2024-12-01 00:00:00,2,2,1
2025-01-01 00:00:00,4,29,22
2025-02-01 00:00:00,6,30,20
2025-03-01 00:00:00,5,30,211
2025-04-01 00:00:00,5,29,24
2025-05-01 00:00:00,9,30,23
2025-06-01 00:00:00,6,32,25
2025-07-01 00:00:00,6,35,22
2025-08-01 00:00:00,5,23,10
2025-09-01 00:00:00,0,0,0
2025-10-01 00:00:00,0,0,0
2025-11-01 00:00:00,0,0,0
2025-12-01 00:00:00,0,0,0
2015-01,0,0,0
2015-02,0,0,0
2015-03,0,0,0
2015-04,0,0,1
2015-05,0,1,0
2015-06,0,0,0
2015-07,0,0,0
2015-08,0,0,0
2015-09,0,0,4
2015-10,0,0,0
2015-11,0,0,0
2015-12,0,0,0
2016-01,0,0,0
2016-02,0,0,0
2016-03,0,0,0
2016-04,0,0,0
2016-05,0,0,0
2016-06,0,0,0
2016-07,0,0,0
2016-08,0,0,0
2016-09,0,0,0
2016-10,0,0,0
2016-11,1,0,0
2016-12,0,0,0
2017-01,0,0,0
2017-02,0,0,0
2017-03,1,0,1
2017-04,0,0,0
2017-05,0,0,1
2017-06,0,0,0
2017-07,0,0,0
2017-08,0,0,0
2017-09,0,1,0
2017-10,0,0,0
2017-11,0,0,0
2017-12,0,1,0
2018-01,0,0,0
2018-02,0,0,0
2018-03,0,0,1
2018-04,0,0,0
2018-05,0,0,0
2018-06,0,0,0
2018-07,0,0,2
2018-08,0,0,12
2018-09,0,0,0
2018-10,0,0,0
2018-11,0,0,1
2018-12,1,1,0
2019-01,0,0,3
2019-02,0,0,0
2019-03,2,0,0
2019-04,0,0,0
2019-05,0,1,2
2019-06,0,0,0
2019-07,0,0,0
2019-08,0,0,3
2019-09,3,0,17
2019-10,0,0,0
2019-11,0,0,0
2019-12,1,0,2
2020-01,1,2,2
2020-02,0,0,0
2020-03,3,0,2
2020-04,0,0,0
2020-05,1,0,1
2020-06,0,0,0
2020-07,0,0,0
2020-08,0,0,2
2020-09,0,1,3
2020-10,0,0,21
2020-11,0,0,0
2020-12,1,0,1
2021-01,2,0,12
2021-02,0,0,0
2021-03,10,0,5
2021-04,8,0,38
2021-05,2,0,11
2021-06,0,0,1
2021-07,0,1,2
2021-08,1,0,2
2021-09,0,0,2
2021-10,0,0,0
2021-11,0,0,0
2021-12,0,1,1
2022-01,14,4,112
2022-02,0,0,0
2022-03,11,0,38
2022-04,3,0,15
2022-05,7,0,21
2022-06,0,0,1
2022-07,0,0,1
2022-08,1,2,9
2022-09,2,1,16
2022-10,0,0,3
2022-11,0,0,5
2022-12,9,0,48
2023-01,15,7,67
2023-02,0,0,0
2023-03,17,0,35
2023-04,0,1,2
2023-05,7,7,21
2023-06,0,0,2
2023-07,0,1,0
2023-08,0,0,4
2023-09,1,4,14
2023-10,0,0,2
2023-11,0,0,6
2023-12,1,4,8
2024-01,18,6,94
2024-02,0,0,4
2024-03,12,7,40
2024-04,4,0,12
2024-05,11,5,35
2024-06,0,0,2
2024-07,2,0,2
2024-08,0,0,11
2024-09,1,7,12
2024-10,2,0,8
2024-11,0,1,5
2024-12,5,0,14
2025-01,0,0,1
2025-02,0,0,0
2025-03,0,0,1
2025-04,0,0,0
2025-05,0,0,0
2025-06,0,0,0
2025-07,0,0,0
2025-08,0,0,1
2025-09,0,0,0
2025-10,0,0,0
2025-11,0,0,0
2025-12,0,2,0
